group_id,female,manager,population,district_id,state_name,year
519,f,t,10698,3,Connecticut,2015
520,f,t,10460,4,Connecticut,2015
521,f,t,9948,5,Connecticut,2015
522,f,t,15313,0,Delaware,2015
523,f,t,11851,1,Florida,2015
524,f,t,8538,2,Florida,2015
525,f,t,7595,3,Florida,2015
526,f,t,10119,4,Florida,2015
527,f,t,6766,5,Florida,2015
528,f,t,9833,6,Florida,2015
529,f,t,12736,7,Florida,2015
530,f,t,9300,8,Florida,2015
531,f,t,9770,9,Florida,2015
532,f,t,12717,10,Florida,2015
533,f,t,6448,11,Florida,2015
534,f,t,14260,12,Florida,2015
535,f,t,10473,13,Florida,2015
536,f,t,10185,14,Florida,2015
537,f,t,8937,15,Florida,2015
538,f,t,9247,16,Florida,2015
539,f,t,6225,17,Florida,2015
540,f,t,9927,18,Florida,2015
541,f,t,8445,19,Florida,2015
542,f,t,5123,20,Florida,2015
543,f,t,11619,21,Florida,2015
544,f,t,13837,22,Florida,2015
545,f,t,13638,23,Florida,2015
546,f,t,6721,24,Florida,2015
547,f,t,10785,25,Florida,2015
548,f,t,11889,26,Florida,2015
549,f,t,10681,27,Florida,2015
550,f,t,8776,1,Georgia,2015
551,f,t,4588,2,Georgia,2015
552,f,t,8286,3,Georgia,2015
553,f,t,8360,4,Georgia,2015
554,f,t,11524,5,Georgia,2015
555,f,t,18213,6,Georgia,2015
556,f,t,12881,7,Georgia,2015
557,f,t,7020,8,Georgia,2015
558,f,t,8730,9,Georgia,2015
559,f,t,9098,10,Georgia,2015
560,f,t,15216,11,Georgia,2015
561,f,t,6105,12,Georgia,2015
562,f,t,7960,13,Georgia,2015
563,f,t,7467,14,Georgia,2015
564,f,t,10070,1,Hawaii,2015
565,f,t,6368,2,Hawaii,2015
566,f,t,10370,1,Idaho,2015
567,f,t,8677,2,Idaho,2015
568,f,t,5910,1,Illinois,2015
569,f,t,6311,2,Illinois,2015
570,f,t,8058,3,Illinois,2015
571,f,t,6423,4,Illinois,2015
572,f,t,14542,5,Illinois,2015
573,f,t,15880,6,Illinois,2015
574,f,t,9659,7,Illinois,2015
575,f,t,10734,8,Illinois,2015
576,f,t,12926,9,Illinois,2015
577,f,t,12760,10,Illinois,2015
578,f,t,10608,11,Illinois,2015
579,f,t,7081,12,Illinois,2015
580,f,t,7830,13,Illinois,2015
581,f,t,13428,14,Illinois,2015
582,f,t,7006,15,Illinois,2015
583,f,t,8394,16,Illinois,2015
584,f,t,5093,17,Illinois,2015
585,f,t,9180,18,Illinois,2015
586,f,t,8517,1,Indiana,2015
587,f,t,7179,2,Indiana,2015
588,f,t,7051,3,Indiana,2015
589,f,t,7961,4,Indiana,2015
590,f,t,13917,5,Indiana,2015
591,f,t,7257,6,Indiana,2015
592,f,t,8560,7,Indiana,2015
593,f,t,6436,8,Indiana,2015
594,f,t,10349,9,Indiana,2015
595,f,t,9454,1,Iowa,2015
596,f,t,10722,2,Iowa,2015
597,f,t,11180,3,Iowa,2015
598,f,t,6567,4,Iowa,2015
599,f,t,7943,1,Kansas,2015
600,f,t,7507,2,Kansas,2015
601,f,t,12381,3,Kansas,2015
602,f,t,8185,4,Kansas,2015
603,f,t,6083,1,Kentucky,2015
604,f,t,6362,2,Kentucky,2015
605,f,t,10884,3,Kentucky,2015
606,f,t,9611,4,Kentucky,2015
607,f,t,4841,5,Kentucky,2015
608,f,t,9939,6,Kentucky,2015
609,f,t,11208,1,Louisiana,2015
610,f,t,7311,2,Louisiana,2015
611,f,t,7984,3,Louisiana,2015
612,f,t,6615,4,Louisiana,2015
613,f,t,6186,5,Louisiana,2015
614,f,t,10857,6,Louisiana,2015
615,f,t,9903,1,Maine,2015
616,f,t,7485,2,Maine,2015
617,f,t,12607,1,Maryland,2015
618,f,t,11112,2,Maryland,2015
619,f,t,15765,3,Maryland,2015
620,f,t,10759,4,Maryland,2015
621,f,t,13034,5,Maryland,2015
622,f,t,14352,6,Maryland,2015
623,f,t,9060,7,Maryland,2015
624,f,t,16343,8,Maryland,2015
625,f,t,8836,1,Massachusetts,2015
626,f,t,11091,2,Massachusetts,2015
627,f,t,12170,3,Massachusetts,2015
628,f,t,12433,4,Massachusetts,2015
629,f,t,13190,5,Massachusetts,2015
630,f,t,12367,6,Massachusetts,2015
631,f,t,7899,7,Massachusetts,2015
632,f,t,10456,8,Massachusetts,2015
633,f,t,12173,9,Massachusetts,2015
634,f,t,6850,1,Michigan,2015
635,f,t,8033,2,Michigan,2015
636,f,t,9169,3,Michigan,2015
637,f,t,7330,4,Michigan,2015
638,f,t,6287,5,Michigan,2015
639,f,t,9632,6,Michigan,2015
640,f,t,8290,7,Michigan,2015
641,f,t,11473,8,Michigan,2015
642,f,t,8917,9,Michigan,2015
643,f,t,10348,10,Michigan,2015
644,f,t,16294,11,Michigan,2015
645,f,t,8392,12,Michigan,2015
646,f,t,3630,13,Michigan,2015
647,f,t,7409,14,Michigan,2015
648,f,t,8867,1,Minnesota,2015
649,f,t,13135,2,Minnesota,2015
650,f,t,14894,3,Minnesota,2015
651,f,t,10841,4,Minnesota,2015
652,f,t,10861,5,Minnesota,2015
653,f,t,11471,6,Minnesota,2015
654,f,t,8773,7,Minnesota,2015
655,f,t,7921,8,Minnesota,2015
656,f,t,7583,1,Mississippi,2015
657,f,t,5896,2,Mississippi,2015
658,f,t,9691,3,Mississippi,2015
659,f,t,6980,4,Mississippi,2015
660,f,t,7984,1,Missouri,2015
661,f,t,13747,2,Missouri,2015
662,f,t,8222,3,Missouri,2015
663,f,t,8013,4,Missouri,2015
664,f,t,8617,5,Missouri,2015
665,f,t,7870,6,Missouri,2015
666,f,t,9391,7,Missouri,2015
667,f,t,5886,8,Missouri,2015
668,f,t,15622,0,Montana,2015
669,f,t,9378,1,Nebraska,2015
670,f,t,9880,2,Nebraska,2015
671,f,t,5912,3,Nebraska,2015
672,f,t,5663,1,Nevada,2015
673,f,t,8573,2,Nevada,2015
674,f,t,11775,3,Nevada,2015
675,f,t,7215,4,Nevada,2015
676,f,t,10921,1,NewHampshire,2015
677,f,t,11846,2,NewHampshire,2015
678,f,t,10755,1,NewJersey,2015
679,f,t,10292,2,NewJersey,2015
680,f,t,8887,3,NewJersey,2015
681,f,t,12530,4,NewJersey,2015
682,f,t,14636,5,NewJersey,2015
683,f,t,11714,6,NewJersey,2015
684,f,t,15320,7,NewJersey,2015
685,f,t,9692,8,NewJersey,2015
686,f,t,13274,9,NewJersey,2015
687,f,t,6257,10,NewJersey,2015
688,f,t,17882,11,NewJersey,2015
689,f,t,13928,12,NewJersey,2015
690,f,t,9534,1,NewMexico,2015
691,f,t,5748,2,NewMexico,2015
692,f,t,8247,3,NewMexico,2015
693,f,t,13203,1,NewYork,2015
694,f,t,10800,2,NewYork,2015
695,f,t,15110,3,NewYork,2015
696,f,t,12129,4,NewYork,2015
697,f,t,7768,5,NewYork,2015
698,f,t,8695,6,NewYork,2015
699,f,t,8921,7,NewYork,2015
700,f,t,7673,8,NewYork,2015
701,f,t,10316,9,NewYork,2015
702,f,t,15102,10,NewYork,2015
703,f,t,9568,11,NewYork,2015
704,f,t,17594,12,NewYork,2015
705,f,t,8605,13,NewYork,2015
706,f,t,10294,14,NewYork,2015
707,f,t,4892,15,NewYork,2015
708,f,t,9575,16,NewYork,2015
709,f,t,11309,17,NewYork,2015
710,f,t,9413,18,NewYork,2015
711,f,t,8073,19,NewYork,2015
712,f,t,11582,20,NewYork,2015
713,f,t,6653,21,NewYork,2015
714,f,t,6954,22,NewYork,2015
715,f,t,7317,23,NewYork,2015
716,f,t,9228,24,NewYork,2015
717,f,t,9900,25,NewYork,2015
718,f,t,9568,26,NewYork,2015
719,f,t,11426,27,NewYork,2015
720,f,t,6669,1,NorthCarolina,2015
721,f,t,10504,2,NorthCarolina,2015
722,f,t,9555,3,NorthCarolina,2015
723,f,t,10786,4,NorthCarolina,2015
724,f,t,9238,5,NorthCarolina,2015
725,f,t,9753,6,NorthCarolina,2015
726,f,t,8557,7,NorthCarolina,2015
727,f,t,9506,8,NorthCarolina,2015
728,f,t,18488,9,NorthCarolina,2015
729,f,t,7371,10,NorthCarolina,2015
730,f,t,7958,11,NorthCarolina,2015
731,f,t,8827,12,NorthCarolina,2015
732,f,t,15293,13,NorthCarolina,2015
733,f,t,10292,0,NorthDakota,2015
734,f,t,10806,1,Ohio,2015
735,f,t,9266,2,Ohio,2015
