official_id,rep_type,female,state_name,district_id,year
508,house,0,Virginia,6,2015
509,house,0,Virginia,7,2015
510,house,0,Virginia,8,2015
511,house,0,Virginia,9,2015
512,house,1,Virginia,10,2015
513,house,0,Virginia,11,2015
514,house,1,Washington,1,2015
515,house,0,Washington,2,2015
516,house,1,Washington,3,2015
517,house,0,Washington,4,2015
518,house,1,Washington,5,2015
519,house,0,Washington,6,2015
520,house,0,Washington,7,2015
521,house,0,Washington,8,2015
522,house,0,Washington,9,2015
523,house,0,Washington,10,2015
524,house,0,WestVirginia,1,2015
525,house,0,WestVirginia,2,2015
526,house,0,WestVirginia,3,2015
527,house,0,Wisconsin,1,2015
528,house,0,Wisconsin,2,2015
529,house,0,Wisconsin,3,2015
530,house,1,Wisconsin,4,2015
531,house,0,Wisconsin,5,2015
532,house,0,Wisconsin,6,2015
533,house,0,Wisconsin,7,2015
534,house,0,Wisconsin,8,2015
535,house,1,Wyoming,0,2015
